,Name,Politician Id,Party,Chamber,State,Asset Type,Issuer,Ticker,Issuer Country,Type,Date,Trade Size,Trade Price,Trade Value
0,Suzanne Lee,L000590,Democrat,House,NV,Stock,RHEINMETALL AG,RNMBY,de,Buy,2024-05-10,70.0,115.347,8000
1,Laurel Lee,L000597,Republican,House,FL,Corporate-bond,TUHURA BIOSCIENCES INC,,,Buy,2024-05-06,,,175000
2,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,,,1000000
3,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,,,1000000
4,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,,,1000000
5,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,,,1000000
6,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,,,1000000
7,Doris Matsui,M001163,Democrat,House,CA,Municipal-security,US TREASURY NOTE,,,Buy,2024-04-23,,,1000000
8,Stephen Lynch,L000562,Democrat,House,MA,Stock,NVIDIA Corporation,NVDA,us,Buy,2024-05-22,9.0,949.5,8000
9,Jeffrey Duncan,D000615,Republican,House,SC,Stock,Colgate-Palmolive Co,CL,us,Sell,2023-08-25,109.0,73.83,8000
10,Jeffrey Duncan,D000615,Republican,House,SC,Stock,JD.com Inc,JD,cn,Sell,2023-08-25,244.0,32.96,8000
11,Gary Peters,P000595,Democrat,Senate,MI,Stock,SOLVENTUM CORP,SOLV,us,Sell,2024-05-14,,,8000
12,Gary Peters,P000595,Democrat,Senate,MI,Stock,Carnival Corporation & PLC,CCL,us,Sell,2024-05-14,552.0,14.52,8000
13,Gary Peters,P000595,Democrat,Senate,MI,Stock,Schlumberger Ltd,SLB,us,Sell,2024-05-14,165.0,48.62,8000
14,Gary Peters,P000595,Democrat,Senate,MI,Stock,International Flavors & Fragrances Inc,IFF,us,Sell,2024-05-14,337.0,96.63,32500
15,Kathy Manning,M001135,Democrat,House,NC,Hedge-pvt-eq-funds-non-eif,SEVEN BRIDGES LONG SHORT EQUITY FUND LTD,,,Sell,2024-04-22,,,175000
16,Kathy Manning,M001135,Democrat,House,NC,Hedge-pvt-eq-funds-non-eif,SEVEN BRIDGES LONG SHORT EQUITY FUND LTD,,,Sell,2024-05-03,,,750000
17,Kathy Manning,M001135,Democrat,House,NC,Hedge-pvt-eq-funds-non-eif,SEVEN BRIDGES MULTI STRATEGY FUND LP,,,Buy,2024-04-22,,,175000
18,William Keating,K000375,Democrat,House,MA,Stock,Accenture PLC,ACN,ie,Sell,2024-05-17,27.0,303.59,8000
19,William Keating,K000375,Democrat,House,MA,Stock,Airbnb Inc,ABNB,us,Sell,2024-05-17,55.0,145.66,8000
20,William Keating,K000375,Democrat,House,MA,Stock,Alphabet Inc,GOOGL,us,Sell,2024-05-17,46.0,176.06,8000
